content,score,Label
"Tolong kembalikan kebebasan memilih jasa kirim yg cust mau, krna saya cape bgt pake shopee express standard prosesnya lama bgt, apalgi sicepat dan anteraja, id express jga, pdhal sya sllu blnja di shopee mall agar brang trpercaya, tapi proses dri pngiriman shopee lbih lmbat dri ekspedisi lain, pelayanannya mengecewakan terus, lebih baik kaya dlu, bisa pilih ekspedisi yg disuka krna brang ingin cepat sampai, akun saya adalah akun gk bisa ubah jasa kirim setelah saya pesan, jdi sya agak kecewa,",1,Negatif
"shopee sekarang meskipun ada vocher kaya nggada bedanya, harus ada biaya layanan lah penanganan lah, belum lagi gratis ongkir harus ada minimal pembelian, pengiriman super lama, padahal cuma dari kota sebelah bisa sampe seminggu baru dateng, kek plislahh, kalo banyak biaya tambahan harusnya lebih nyaman belanjanya, saya pribadi sebagai pembeli merasa dirugikan.. mohon ditingkatkan kualitas online shopenya, jangan cuma biayanya yang dinaikan🙂👍",2,Negatif
"Makin lama makin parah makin pelit, biaya admin mahal banget merugikan seller. Utk buyer kurir juga gabisa dipilih, jadi susah kalo mau pesan barang yg butuh waktu cepat sampai",1,Negatif
"Katanya terus belanja pakai spaylater supaya bisa naik limit, tapi kok gak naik-naik juga. Terus terlalu banyak game jadinya info aplikasi juga bertambah ruang penyimpanan.",1,Negatif
Minta batal pesanan ditolak sama toko. Barang nya preorder tapi ga bisa batal pengiriman masih jauh bln depan. Di chat toko ga ada respon. Saya laporkan toko kata nya mau ditindak lanjuti sama tim. Setiap chat CS ga pada nyambung. Pengen nya itu barang dikirim aja. Karena pembayaran udh lunas kalau COD otomatis ga kepikiran. Ini sih masuk nya pemaksaan. Saya bilang gamau beli tapi sudah 1 minggu lebih ga ada perubahan. Barang masih dikemas uang blm kembali. Padahal saya minta uang saya.,1,Negatif
"Hallo pihak shopee, saya suka belanja online melalui shopee. Tapi saya harap diperbaiki layanan melalui SPX. Ongkir gratis tapi pesanan lama sampainya. Lebih enak waktu dulu ada banyak pilihan expedisinya. Meskipun itu ongkir hanya dapat potongan tapi pesanan lebih cepat sampai. Karena kebanyakan toko OLSHOP di shopee menggunakan SPX. Saya harap ini bisa menjadi masukan untuk perbaikan layanan SPX. Trim's",4,Positif
"Halo shopee...untuk pemilihan ekspedisi itu kembalikan saja seperti awal2 dulu, kenapa sih harus berubah-rubah terus, makin ribet dan merugikan customer Klo sistem ekspedisi ditentukan shopee, minimal si ANTERAJA di hilangkan saja, jgn boleh ikut jd ekspedisi dishopee, ekspedisi lemot begitu buat apa, bikin emosi saja yg ada Yaa saya tau ada opsi pilih rekomendasi shopee atau dr yg penjual, tp yg dr penjual jadi ga dapat gratis ongkir mah sama aja bohong Mana sekarang ada biaya penanganan &admin",3,
"Belanja di shopee banyak variasi produknya, kualitasnya baik, harganya terjangkau, hanya saja ada kurir yang tidak profesional dalam melayani pembeli. Saran saya agar penjual mencoba mengirim paket lewat ekspedisi yang lain seperti JNT",5,Positif
"Bisa ngga iklannya ga sampe mengganggu orang gitu na Apaan coba sampe langsung buka aplikasinya dari iklan itu mengganggu banget, bisa kn hanya d cancel gtu aja hilang iklannya, d cancel malah masuk d aplikasi apaan coba, orang lain juga punya kesibukan. Silahkan bikin iklan tapi Janggan sampe menjengkelkan bgtu. Terlalu banyak iklan yg lain tapi d cancel hilang, ini kalau shopee beda.. di pikir kita tiap hari belajar ga ada kerjaan lain apa.",1,Negatif
"kembalikan fitur yg bisa ganti ekspedisi soalnya spx itu jelek bikin jengkel barang ga sampai sudah suruh ambil sendiri tunggu sampai 2 jam malah disuruh pulang sampai sekarang paket itu ga datang datang padahal sudah lama co,pokoknya harus ada fitur ganti ekspedisi kalau yg di rekomendasikan shope itu pasti ekspedisi nya spx coba ekspedisi jnt aja ,jelek sekarang shope ini baru katanya liat yang di rekomendasikan nh sdh pilihvjnt economy malah tambah ongkirnya gimana sih pokoknya jelek spx itu",1,Negatif
"Masyallah suka sekali dengan aplikasi ini sejak ada shopee aku bisa menghasilkan uang tanpa harus bekerja keluar rumah membantu sekali buat saya yang status nya ibu rumah tangga , kualitas nya bagus , harga terjangkau , pengiriman cepat . respon cepat jika barang kurang atau salah mudah sekali ngembalikan dana atau barang nya . Suka sekali terimakasih buat kerja sama nya udah 6th jualan online ngambil barang dari shopee 😍😍🥰🙏",5,Positif
"tolong dibantu ya pihak shopee, saya setiap pesan barang menggunakan JNE selalu gagal, padahal tidakpernah mengganti lokasi. Tolong diputuskan saja kemitraan dengan JNE karena banyak barang saya yang gagal dikriim gara2 JNE, hal ini berakibat ke penilaian shopee yang melakukan kemitraan dengan JNE, Tolong dijadikan pertimbangan karena sudah banyak yang terkena kasus seperti saya, cek di gmaps JNE KLATEN, rating sudah 2.1 karena hal ini. Mending di hapus saja kemitraannya dengan JNE",2,Negatif
Shopee kembalikan lagi pemilihan expedisi nya tergantung kemauan pembeli Karena ada expedisi tertentu yg sangat lama pengiriman akibat pembeli tidak bisa memilih expedisi yg dimau Dan jangan hanya shopee expres trus Utuk pengirimannya,3,
Kenapa Shopee sudah semakin berat loadingnya lama banget padahal jaringan bagus wifi bagus. Ko semakin berat dan kedua adalah keterangan di Shopee bahwa bebas pengembalian nah ketika pelanggan melakukan return banyak toko Terima pdahal kt kembalikan karna tidak sesuai jd lansung .,4,Positif
"Jadi sekarang shopee lebih buruk dari yang lain.fitur pemilihan jasa kirim buat pembeli hilang cmn ada ket. Reguler dan hemat aja. Gak kayak dulu sebelum buat pesanan ada tulisan/pilihan jnt/JNE dll sekarang sekarep semaunya shopeee, Padahal jasa kirim semua ekspedisi antar daerah itu berbeda beda ada yang ceper dan lambat SUPER.MASYAAALLAH (Tergantung Pada EKSPEDISI. Apa yang dipilih oto shopeee)",1,Negatif
"Saya suka dengan shoope, tapi tolong untuk ekspedisi SPX diperbaiki, lama bangeet. Masa iya udah mau 10 hari nggak nyampe2, padahal udah pilih pengiriman reguler tapi lama kayak pengiriman hemat, untuk ke tampat saya biasanya kalau pakai j&t paling lama 7 hari. Mau ubah ekspedisi tapi gak bisa krn COD. Tolong dong shoope perbaiki!!!",3,
"Awal dulu bintang 5 trs krn suatu hal yg menurut saya shoopee kurang obyektif sy ubah bintang satu, namun seiring masukan2 sy n ada perubahan managemen shope yg makin bagus akhirnya kembali sy kasih bintang 5. Jk dibanding dg yg lain shopee menurut sy memang shopee jauh lbh bagus n lbh maju drpd onlineshop yg lain.",5,Positif
"Dulu saya kasih bintang 5 karena emang mempermudah, sekarang saya kasih bintang 1 karena dipersulit karena pilihan jasa kirim harus spx yang (untuk yang gratis ongkir) dimana jasa kirimnya lama paket saya sudah mau 1 minggu di hub terakhir 👎",1,Negatif
"Bingung aku sama shope skrng jasa kirim nya pada nga jelas spx expres si cepet halu selalu telat dan selalu bulak balik map nya jadi menganggu kalau posisi cod,,, nga kaya dulu JNE jnt selalu akurat dan nga pernah ngecewain",1,Negatif
TOP bangeet .. Udah lama menggunakan aplikasi shopee.. Beli semuanya lebih mudah.. Tapi tetap harus hati2 klo beli online coz biasa nya tidak realpict.. Shopee paylatter mantaaaap.. Shopee cicilan juga q pakai.. TOP dech..,5,Positif
"Tolong dong agar masalah playletter saya yang dibekukan agar bisa digunakan lagi padahal udah lunas semua+keterlambatannya udah lunas semua ditahun 2022 ini udah mau masuk 2025 belum juga kelar masalah splaylater saya,,tolong dong agar splaylayter saya agar dapat digunakan kembali udah berapa kali nunggu kagak kelar kalar tuh masalah padahal cuman 1 masalah doang kagak selesai selasai juga tuh,,tolong para pihak shoppe agar splayleter saya bisa digunakan lagiiiii",3,
"Sangat memudahkan untuk berbelanja online di Shopee dan sangat bagus. Tapi sangat disayangkan sekali menu utama Shopee untuk hari ini susah dibuka, ada notifikasi (periksa jaringan internet anda) padahal jaringan hotspot/wifi sangat bagus..tapi kenapa tidak bisa dibuka.. Tolong diperbaiki lagi aplikasi Shopee in8 serta game Shopee'nya karna sangat menghibur Terima-kasih",5,Positif
"situs belanja dan jualbeli terlengkap, sangat disayangkan kalau belanja di shopee sekarang pakai kurir SPX dan paket saya selalu dibuka sama pihak ekspedisi (kalau belanjaan sudah di bayar/bukan COD). Ditanya ke abang kurir, ya jawabannya mereka ambil dari tempat sortir sudah dlm keadaan robek packing/lakban sudah dibuka. Semoga kedepannya bisa lebih amanah dlm mengirim barang pembeli.",3,
"Masih ada bug di video suka ganti sendiri, sedari dulu tidak ada mode gelap seperti marketplace sebelah, lemot ketika dipakai berlama-lama. @:fx",2,Negatif
"pembeli dipaksa untuk menggunakan expedisi SPX, walaupun ada opsi untuk memilih expedisi lain, itu tidak gratis, kembalikan seperti semula, SPX expedisi paling lelet...!!! tolong dikembalikan seperti sebelumnya",1,Negatif
"Produk bagus🤩 ,harga terjangkau deh di kantong 😹 pengiriman cepat, kualitas bagus, toko"" nya ramah"" , pelayanan nya baik, barang sesuai dengan foto, intinya belum pernah kecewa sih dalam pemesanan di shopee ini😍",5,Positif
"disini saya pengguna shoope yang lumayan sering berbelanja,sekarang ini sangat kesal dengan manajemen spx yg ada di tanah karo,pengantaran sangat lama,jika ingin di ambil ke kantor spx tidak boleh,wajib kurir yg antar,paket kadang ada 3 berbarengan sampai,pas pengantaran kurirnya beda2 padahal barang ukurannya sama,saya sih berharap pekerjaan spx di tanah karo tepatnya spx kabanjahe mohon di perbaiki,karna bagi kita penerima barang nunggunya udah lama,kadang dibalikin,infonya ga ada di tempat.",1,Negatif
"aplikasi kurang memuaskan, pelayanan costumer servis shopee kurang memuaskan. serta aplikasi masih banyak sistem manualnya, tidak bekerja secara otomatis.",4,Positif
sya sebagai penjual.. setelah updatean kemaren apk shope. exspedisi gk bisa di ubahh..tpi pengiriman lambatt..gk ada update pengiriman..biasa bogor ke jakarta 1/2 hari..ini dah hampir 5hari...saya sangat kecewa.terjadi udah beberapa paket retur semua..sangat merugikann inii,1,Negatif
"Hati-hati buat yang mau transaksi di shopee pakai expedisi SPX, khususnya seller, apalagi kalau barang yang dijual bernilai cukup tinggi, barangnya bisa hilang di perjalanan expedisi,seperti yang saya alami.. bisa rugi besar",1,Negatif
"Tolong diperbaiki seperti dulu dong untuk expedisi pengirimannya memilih sendiri untuk yang gratis ongkir jangan pakai rekomendasi shopee lagi, karena kalau pakai rekomendasi pasti tidak tepat expedisinya pasti waktu datang lama, apalagi expedisi anteraja paling lemot bisa sampai 1 minggu lebih baru datang",1,Negatif
"Saya pesan tanggal 9 september 2024, estimasi tanggal 11 sampai, tanggal 15 saya ke spx ridwan rais bandar lampung untuk menjemput pesanan saya, tetapi ditolak, dengan alasan sulit untuk mencari, dan mereka bilang tanggal 16 akan diantar. Dan sekarang sudah tanggal 16 malam jam 19.41 belum juga diantar. Tolong karyawan d spx nya di bina lagi, customer berniat baik jemput barang ko dengan sombongnya di tolak. Padahal cod,",3,
"Maafkan saya sudah ilfeel krn kebijakan perusahaan yg aneh: 1. Potongan admin semakin memberatkan penjual. 2. Masa pengemasan semakin sedikit, sedang pengiriman barang itu terkait pihak ketiga ,yg seharusnya g perlu shopee ikut campur (dengan memberi penalti). 3. Penalti akun penjual berimbas ke peran sebagai pembeli (padahal ke2 peran itu sama2 menguntungkan shopee). Kami Sedang berusaha move on & pindah market place, mau selesaikan perhutangan paylater dulu🙏🏼",1,Negatif
"Kembalikan ekspedisi jnt jadi pilihan utama dong, muak kali saya kalau pas cekout otomatis ke ekspedisi spx , lama poll . Sangat buruk",2,Negatif
"Baru kali ini aku coba belanja online, sebagai orang yang baru belajar untuk belanja online. Aku memang rada takut kalo ternyata penipuan. Tapi Alhamdulillah selama coba pake aplikasi shopee, gak pernah terjadi penipuan, dan semoga aja gak ada orang yang manfaatin aplikasi ini untuk penipuan.",5,Positif
"Maaf sabwlumnya.., sy main shopee geme itu untuk ngumpulin coin, dan untuk beli pulsa/.kuota., krn ekonomi sy pas²an../.cumpon/.meffet.. klo ga sedia pulsa ya sudah, lebih baik sy keluar lagi dr Shopee.., ato klo ada Shopee driver 🚙 sy mau gabung..🙏🤔😮‍💨👌👍💪",4,Positif
"Sebagai pengguna shopee kali ini saya bener"" kecewa.. karna koin shopee tidak bisa di pakai/ dituker saldo.. Kalau bisa kendala ini secepatnya selesai.. Kalau sekiranya koin shopee memang sudah tidak bisa dituker saldo saya tidak akan pakai shopee lagi..",5,Positif
"KEMBALIKAN FITUR PILIH EKSPEDISI, PLEASE !!! Nggak pernah sampai sekecewa ini, nggak sekali duakali dapat ekspedisi yang super lemoot sering lambat nggak tepat waktu, walau diganti voucher garansi tetep nggak bisa ganti kerugian barang telat datang. Tolonglah beri kebijakan yang nggak merugikan. Jangan sampai kita lari ke sebelah karena shopee yang bikin ribet prosesnya. Sekian",2,Negatif
"Terimakasih apk pinjaman shopee pinjaman saya telah diterima, walaupun limit nya masih kecil,maaf🙏🙏 sebelumnya saya tidak percaya dan takut disalah gunakan data data saya, sekali lagi saya minta maaf,dan terima kasih banyak sebanyak2, mudah2an saya lancar membyar nya,dan diterima pinjam kembali untuk babak selanjutnya 🙏🙏☺️☺️☺️",5,Positif
sampah aku kapok belanja di shopee pengiriman nya tidak ngotak pesan barang dua Minggu baru sampai bayangkan pengiriman hanya antar pulau pokok nya aku udah kapok belanja di shopee ini not recommended app 👎👎👎👎👎 Ayo uninstall massal aplikasi ini tidak berguna lagi bagi kita masih banyak e-commerce yang lain yang lebih baik dari aplikasi sampah ini jangan bertahan nanti kalian kecewa sendiri stop gunakan aplikasi Shopee ini tidak bakal pesanan kalian cepat datang paling cepat dua Minggu 👎,1,Negatif
mantap sekarang pengembalian barang yang salah dri penjual yang ngantuk bisa dikirim tanpa pembeli harus kejasa kirim. Melalui shope yg mengambil barang nya langsung gratis. Mantap trs tingkatkan kualitas ini,5,Positif
"Ekspedisi rekomendasi shopee kacau, terlalu bertele-tele, sengaja memperlambat, waktu kirim dilama-lamakan. Jadinya pesanan tidak sesuai estimasi. Sampai molor, satu minggu lebih pesanan baru sampai. Tidak seperti biasanya hanya 4-5 hari. Parah.",1,Negatif
"Knp harga nya jd eror , malah pas pesen baju jd naik harganya. Tapi harga nya lg discount , yang bnr lah settingan harga produk nya",3,
"Shopee tolong dong expedisi nya jgn otomatis spx soal nya lemot udda gitu paket nya berantakan,resi juga gag update tolong ya jangan di otomatis kan sprti biasa aja bisa di ubah bisa pilih expedisi nya. Udda gitu biaya penanganan tolong jgn gede gede donk.",1,Negatif
"Tolong CS baca bener2 komplain orang. 3 CS berturut2 suruh clear cache padahal Ini aplikasi Gak mau dibuka, cuma kedip2 layar orange doang. Apanya yang mau diclear kalau buka aplikasi aja gak bisa masuk. Bukan gak bisa masuk akun. Tapi gak bisa buka aplikasinya !",1,Negatif
"Bisa dibilang ini ada fitur yang downgrade, biasanya saya sesudah pesan produk bisa mengubah opsi pengiriman pakai jasa ekspedisi apa, sekarang malah tidak bisa memilih lagi.",2,Negatif
Untuk yg kesekian kalinya paket saya hilang dan paket satuny lagi katanya rusak....padahal SPX itu milik shope tp nyatanya tetep sj bisa hilang...dan vocher melayang jg hilang!!!,1,Negatif
